Date,"Mt. Gox
BTC/USD
Weighted
Avg","Mt. Gox
BTC/USD
Volume (BTCs)","Month
Name","Mt. Gox
BTC/USD
Monthly
Avg","Through
Block","Mt. Gox
BTC/USD
Open","Mt. Gox
BTC/USD
High","Mt. Gox
BTC/USD
Low","Mt. Gox
BTC/USD
Close","Mt. Gox
BTC/USD
Volume (USDs)","Output
Volume (BTCs)
","Mt. Gox
BTC/EUR
Close","EUR/USD
Forex","EUR
Premium",Gold,"BTC/
Gold",Silver,"BTC/
Silver",Crude (WTI),"BTC/
Oil","BitcoinTalk
New Posts","BitcoinTalk
Page Views"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
7/17/2010,$0.05,20.00,,,,0.04951,0.04951,0.04951,0.04951,$0.99,"44,761",n/a,1.2942,n/a,"$1,188.20",0.0000,$18.25,0.0027,$76.01,0.0007,215,#N/A
7/18/2010,$0.07,75.01,,,,0.04951,0.08585,0.05941,0.08584,$5.09,"42,807",n/a,1.2930,n/a,"$1,188.20",0.0001,$18.25,0.0038,$76.01,0.0009,267,#N/A
7/19/2010,$0.09,574.00,,,,0.08584,0.09307,0.07723,0.08080,$49.66,"56,879",n/a,1.2928,n/a,"$1,181.90",0.0001,$17.78,0.0051,$76.54,0.0012,282,#N/A
7/20/2010,$0.08,262.00,,,,0.08080,0.08181,0.07426,0.07474,$20.59,"38,158",n/a,1.2947,n/a,"$1,191.70",0.0001,$17.55,0.0046,$77.44,0.0010,190,#N/A
7/21/2010,$0.07,575.00,,,,0.07474,0.07921,0.06634,0.07921,$42.26,"36,352",n/a,1.2923,n/a,"$1,191.80",0.0001,$17.88,0.0039,$76.56,0.0009,316,#N/A
7/22/2010,$0.06,"2,160.00",,,,0.07921,0.08181,0.05050,0.05050,$129.78,"43,947",n/a,1.2828,n/a,"$1,195.60",0.0001,$17.82,0.0034,$79.30,0.0008,270,#N/A
7/23/2010,$0.06,"2,402.50",,,,0.05050,0.06767,0.05050,0.06262,$141.07,"40,387",n/a,1.2852,n/a,"$1,187.80",0.0001,$18.17,0.0033,$78.98,0.0008,247,#N/A
7/24/2010,$0.05,496.32,,,,0.06262,0.06161,0.05049,0.05454,$26.73,"41,380",n/a,1.2889,n/a,"$1,187.80",0.0000,$18.17,0.0028,$78.98,0.0006,188,#N/A
7/25/2010,$0.05,"1,551.48",,,,0.05454,0.05941,0.05050,0.05050,$85.06,"61,276",n/a,1.2911,n/a,"$1,187.80",0.0000,$18.17,0.0028,$78.98,0.0006,191,#N/A
7/26/2010,$0.05,877.00,,,,0.05050,0.05600,0.05000,0.05600,$46.91,"54,379",n/a,1.2908,n/a,"$1,183.10",0.0000,$18.01,0.0028,$78.98,0.0006,182,#N/A
7/27/2010,$0.06,"3,373.69",,,,0.05600,0.06050,0.05300,0.06000,$196.92,"83,431",n/a,1.2948,n/a,"$1,158.00",0.0001,$18.16,0.0033,$77.50,0.0008,149,#N/A
7/28/2010,$0.06,"4,390.29",,,,0.06000,0.06200,0.05400,0.05890,$255.76,"34,422",n/a,1.2997,n/a,"$1,160.40",0.0001,$17.63,0.0034,$76.99,0.0008,175,#N/A
